country_code,region_name,iata,airport
AR,Chubut,PMY,El Tehuelche Airport
AR,Chubut,REL,Almirante Marcos A. Zar Airport
AR,Chubut,ROY,Rio Mayo Airport
AR,Cordoba,COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas)
AR,Cordoba,LCM,La Cumbre Airport
AR,Cordoba,RCU,Las Higueras Airport
AR,Cordoba,VDR,Villa Dolores Airport
AR,Corrientes,AOL,Paso de los Libres Airport
AR,Corrientes,CNQ,Doctor Fernando Piragine Niveyro International Airport
AR,Corrientes,MCS,Monte Caseros Airport
AR,Corrientes,MDX,Mercedes Airport
AR,Corrientes,OYA,Goya Airport
AR,Corrientes,UZU,Curuzu Cuatia Airport
AR,Entre Rios,COC,Comodoro Pierrestegui Airport
AR,Entre Rios,GHU,Gualeguaychu Airport
AR,Entre Rios,PRA,General Justo Jose de Urquiza Airport
AR,Formosa,CLX,Clorinda Airport
AR,Formosa,FMA,Formosa International Airport (El Pucu Airport)
AR,Formosa,LLS,Alferez Armando Rodriguez Airport
AR,Jujuy,JUJ,Gobernador Horacio Guzman International Airport
AR,La Pampa,GPO,General Pico Airport
AR,La Pampa,RSA,Santa Rosa Airport (Argentina)
AR,La Rioja,IRJ,Capitan Vicente Almandos Almonacid Airport
AR,Mendoza,AFA,San Rafael Airport (Argentina)
AR,Mendoza,LGS,Comodoro D. Ricardo Salomon Airport
AR,Mendoza,MDZ,Gov. Francisco Gabrielli International Airport (El Plumerillo)
AR,Misiones,ELO,Eldorado Airport
AR,Misiones,IGR,Cataratas del Iguazu International Airport
AR,Misiones,PSS,Libertador General Jose de San Martin Airport
AR,Neuquen,APZ,Zapala Airport
AR,Neuquen,CPC,Aviador Carlos Campos Airport
AR,Neuquen,CUT,Cutral Co Airport
AR,Neuquen,CVH,Caviahue Airport
AR,Neuquen,HOS,Chos Malal Airport
AR,Neuquen,LCP,Loncopue Airport
AR,Neuquen,NQN,Presidente Peron International Air
AR,Neuquen,RDS,Rincon de los Sauces Airport
AR,Rio Negro,BRC,San Carlos de Bariloche Airport
AR,Rio Negro,CCT,Colonia Catriel Airport
AR,Rio Negro,EHL,El Bolson Airport
AR,Rio Negro,GNR,Dr. Arturo Umberto Illia Airport
AR,Rio Negro,IGB,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport)
AR,Rio Negro,LMD,Los Menucos Airport
AR,Rio Negro,MQD,Maquinchao Airport
AR,Rio Negro,OES,Antoine de Saint Exupery Airport
AR,Rio Negro,SGV,Sierra Grande Airport
AR,Rio Negro,VCF,Valcheta Airport
AR,Rio Negro,VDM,Gobernador Edgardo Castello Airport
AR,Salta,ORA,Oran Air
AR,Salta,SLA,Martin Miguel de Guemes International Airport
AR,Salta,TTG,Tartagal Airport
AR,San Juan,UAQ,Domingo Faustino Sarmiento Airport
AR,San Luis,LUQ,Brigadier Mayor Cesar Raul Ojeda Airport
AR,San Luis,RLO,Valle del Conlara Airport
AR,San Luis,VME,Villa Reynolds Airport
AR,Santa Cruz,CVI,Caleta Olivia Airport
AR,Santa Cruz,FTE,Comandante Armando Tola International Airport
AR,Santa Cruz,GGS,Gobernador Gregores Airport
AR,Santa Cruz,LHS,Las Heras Airport
AR,Santa Cruz,PMQ,Perito Moreno Airport
AR,Santa Cruz,PUD,Puerto Deseado Airport
